SmoltYear,River,SmoltOutmigration,Survival_Adults,Survival_Jacks,,,
1980,Auke Creek,"10,714",9.109653551,2.744073175,,,"Data are from Leon's spreadsheet ""RunGraphs.xlsx"""
1981,Auke Creek,"6,967",10.60680721,3.315630831,,,"Survival data are for returning fish, e.g., adult data is from the following year (Return year)"
1982,Auke Creek,"6,849",18.08941738,4.935027011,,,
1983,Auke Creek,"6,901",15.86622156,3.782060571,,,
1984,Auke Creek,"6,838",24.61252354,4.60661012,,,
1985,Auke Creek,"5,852",16.64336864,2.084757348,,,
1986,Auke Creek,"5,617",20.98833863,4.557593021,,,
1987,Auke Creek,"7,014",17.12366856,2.936983177,,,
1988,Auke Creek,"7,685",14.39111151,5.67338972,,,
1989,Auke Creek,"7,011",21.13861102,5.491370703,,,
1990,Auke Creek,"5,137",22.95249906,3.211991435,,,
1991,Auke Creek,"5,690",32.95394091,5.571177504,,,
1992,Auke Creek,"6,596",24.09116439,4.108550637,,,
1993,Auke Creek,"8,647",35.3305176,10.52388111,,,
1994,Auke Creek,"7,495",10.94062271,3.055370247,,,
1995,Auke Creek,"4,884",23.36397281,5.794430794,,,
1996,Auke Creek,"3,934",19.24164927,4.270462633,,,
1997,Auke Creek,"6,111",23.12041717,6.234658812,,,
1998,Auke Creek,"7,420",19.33932517,6.051212938,,,
1999,Auke Creek,"5,233",18.5177665,2.847315116,,,
2000,Auke Creek,"4,969",28.29757063,4.145703361,,,
2001,Auke Creek,"5,980",26.75487604,2.37458194,,,
2002,Auke Creek,"3,616",25.00056462,2.876106195,,,
2003,Auke Creek,"3,695",20.24268822,6.603518268,,,
2004,Auke Creek,"4,549",15.9815344,4.968124863,,,
2005,Auke Creek,"4,287",20.52717518,5.971541871,,,
2006,Auke Creek,"4,515",11.87153931,5.005537099,,,
2007,Auke Creek,"4,053",24.10560079,2.615346657,,,
2008,Auke Creek,"3,815",15.54390564,2.883355177,,,
2009,Auke Creek,"4,667",16.43454039,3.23548318,,,
2010,Auke Creek,"6,053",13.11746242,6.922187345,,,
2011,Auke Creek,"10,333",10.32103821,3.638827059,,,
2012,Auke Creek,"6,143",20.77603143,2.962721797,,,
2013,Auke Creek,"9,575",20.10543826,2.235098072,,,
2014,Auke Creek,"5,793",11.96047842,4.988779562,,,
2015,Auke Creek,"6,418",4.066000037,1.137425989,,,
2016,Auke Creek,"9,590",4.989270386,2.542918455,,,
2017,Auke Creek,"4,178",7.084729536,0.454763045,,,
2018,Auke Creek,"4,484",7.694023194,0.268373245,,,
