S,ricker_fit,hockey,,
0,0,0.019745494,,Recruit data are calculated by JTP in a separate analysis (too long and cluttered to post here)
200,1446.566299,2702.528907,,See Rproject under H:/EscapementGoals
400,2831.422384,5405.038068,,Ricker model was fit by a function calculated by Matt Tyers
600,4156.542664,8107.54723,,
800,5423.845394,10810.05639,,
1000,6635.194177,13512.56555,,
1200,7792.399419,16215.07471,,
1400,8897.219752,18917.58388,,
1600,9951.363417,21620.09304,,
1800,10956.48962,24322.6022,,
2000,11914.20983,24419.63333,,
2200,12826.08908,24419.63333,,
2400,13693.64722,24419.63333,,
2600,14518.36009,24419.63333,,
2800,15301.66077,24419.63333,,
3000,16044.94066,24419.63333,,
3200,16749.55068,24419.63333,,
3400,17416.80231,24419.63333,,
3600,18047.96867,24419.63333,,
3800,18644.28559,24419.63333,,
4000,19206.95256,24419.63333,,
4200,19737.1338,24419.63333,,
4400,20235.95913,24419.63333,,
4600,20704.52499,24419.63333,,
4800,21143.89529,24419.63333,,
5000,21555.10231,24419.63333,,
5200,21939.14762,24419.63333,,
5400,22297.00282,24419.63333,,
5600,22629.61047,24419.63333,,
5800,22937.8848,24419.63333,,
6000,23222.71255,24419.63333,,
6200,23484.95368,24419.63333,,
6400,23725.44216,24419.63333,,
6600,23944.98663,24419.63333,,
6800,24144.37114,24419.63333,,
7000,24324.35584,24419.63333,,
7200,24485.6776,24419.63333,,
7400,24629.05068,24419.63333,,
7600,24755.1674,24419.63333,,
7800,24864.69865,24419.63333,,
8000,24958.29461,24419.63333,,
8200,25036.58523,24419.63333,,
8400,25100.18085,24419.63333,,
8600,25149.67274,24419.63333,,
8800,25185.63363,24419.63333,,
9000,25208.61823,24419.63333,,
9200,25219.16374,24419.63333,,
9400,25217.79036,24419.63333,,
9600,25205.00175,24419.63333,,
9800,25181.28549,24419.63333,,
10000,25147.11359,24419.63333,,
10200,25102.94287,24419.63333,,
10400,25049.21542,24419.63333,,
10600,24986.35902,24419.63333,,
10800,24914.78757,24419.63333,,
11000,24834.90143,24419.63333,,
11200,24747.08787,24419.63333,,
11400,24651.72143,24419.63333,,
11600,24549.16426,24419.63333,,
11800,24439.76649,24419.63333,,
12000,24323.86662,24419.63333,,
12200,24201.79179,24419.63333,,
12400,24073.85815,24419.63333,,
12600,23940.37118,24419.63333,,
12800,23801.62598,24419.63333,,
13000,23657.90761,24419.63333,,
13200,23509.49134,24419.63333,,
13400,23356.64297,24419.63333,,
13600,23199.6191,24419.63333,,
13800,23038.6674,24419.63333,,
14000,22874.02685,24419.63333,,
14200,22705.92807,24419.63333,,
14400,22534.59348,24419.63333,,
14600,22360.23759,24419.63333,,
14800,22183.06725,24419.63333,,
15000,22003.28185,24419.63333,,
15200,21821.07355,24419.63333,,
15400,21636.62751,24419.63333,,
15600,21450.12208,24419.63333,,
15800,21261.72904,24419.63333,,
16000,21071.61377,24419.63333,,
16200,20879.93544,24419.63333,,
16400,20686.84724,24419.63333,,
16600,20492.49651,24419.63333,,
16800,20297.02496,24419.63333,,
17000,20100.56884,24419.63333,,
17200,19903.25906,24419.63333,,
17400,19705.22143,24419.63333,,
17600,19506.57678,24419.63333,,
17800,19307.44109,24419.63333,,
18000,19107.92568,24419.63333,,
18200,18908.13736,24419.63333,,
18400,18708.17855,24419.63333,,
18600,18508.1474,24419.63333,,
18800,18308.13799,24419.63333,,
19000,18108.24039,24419.63333,,
19200,17908.54083,24419.63333,,
19400,17709.1218,24419.63333,,
19600,17510.0622,24419.63333,,
19800,17311.43741,24419.63333,,
20000,17113.31947,24419.63333,,
20200,16915.7771,24419.63333,,
20400,16718.8759,24419.63333,,
20600,16522.67839,24419.63333,,
20800,16327.24413,24419.63333,,
21000,16132.62982,24419.63333,,
21200,15938.88941,24419.63333,,
21400,15746.07414,24419.63333,,
21600,15554.23271,24419.63333,,
21800,15363.41129,24419.63333,,
22000,15173.65365,24419.63333,,
22200,14985.00122,24419.63333,,
22400,14797.49319,24419.63333,,
22600,14611.16658,24419.63333,,
22800,14426.05628,24419.63333,,
23000,14242.19519,24419.63333,,
23200,14059.61424,24419.63333,,
23400,13878.34246,24419.63333,,
23600,13698.40707,24419.63333,,
23800,13519.83353,24419.63333,,
24000,13342.64562,24419.63333,,
24200,13166.86546,24419.63333,,
24400,12992.51361,24419.63333,,
24600,12819.60913,24419.63333,,
24800,12648.16958,24419.63333,,
25000,12478.21114,24419.63333,,
25200,12309.74863,24419.63333,,
25400,12142.79555,24419.63333,,
25600,11977.36415,24419.63333,,
25800,11813.46549,24419.63333,,
26000,11651.10943,24419.63333,,
26200,11490.30474,24419.63333,,
26400,11331.0591,24419.63333,,
26600,11173.37917,24419.63333,,
26800,11017.27061,24419.63333,,
27000,10862.73811,24419.63333,,
27200,10709.78547,24419.63333,,
27400,10558.4156,24419.63333,,
27600,10408.63056,24419.63333,,
27800,10260.43162,24419.63333,,
28000,10113.81926,24419.63333,,
28200,9968.793219,24419.63333,,
28400,9825.352531,24419.63333,,
28600,9683.495546,24419.63333,,
28800,9543.219965,24419.63333,,
29000,9404.522864,24419.63333,,
29200,9267.400728,24419.63333,,
29400,9131.849469,24419.63333,,
29600,8997.864461,24419.63333,,
29800,8865.440559,24419.63333,,
30000,8734.572125,24419.63333,,
