Year,Spawners,Recruits,,
1985,6169,18937,,Recruit data are calculated by JTP in a separate analysis (too long and cluttered to post here)
1986,1752,23674,,See Rproject under H:/EscapementGoals
1987,3260,39505,,
1988,2724,35881,,
1989,7509,55291,,
1990,11050,57089,,
1991,11530,47589,,
1992,15300,23966,,
1993,15670,23276,,
1994,15920,21891,,
1995,4945,28502,,
1996,6050,27332,,
1997,10050,25467,,
1998,6802,39027,,
1999,9920,45749,,
2000,10650,23519,,
2001,19290,20675,,
2002,27700,15551,,
2003,10110,11061,,
2004,14450,11682,,
2005,5220,11545,,
2006,5470,12752,,
2007,3915,18765,,
2008,6870,12379,,
2009,4230,13105,,
2010,7520,23692,,
2011,6050,23139,,
2012,5480,13193,,
2013,6280,8460,,
2014,15480,15429,,
2015,9940,8140,,
