Year,Troll,Seine,Gillnet,Sport ,Inriver,Catch,Escapement,Return,Alaska PU,Canadian
1987,NA,NA,NA,NA,"6,519",NA,"55,457",NA,NA,"6,519"
1988,NA,NA,NA,NA,"3,643",NA,"39,450",NA,NA,"3,643"
1989,NA,NA,NA,NA,"4,033",NA,"56,808",NA,57,"4,033"
1990,NA,NA,NA,NA,"3,685",NA,"72,196",NA,103,"3,685"
1991,NA,NA,NA,NA,"5,439",NA,"127,484",NA,86,"5,439"
1992,"41,713","2,283","79,013",431,"5,629","129,069","83,729","212,798",88,"5,541"
1993,"78,371","3,430","40,308","3,222","4,659","129,990","119,330","249,320",25,"4,634"
1994,"97,039","26,352","86,198","19,018","14,786","243,393","96,343","339,736",93,"14,693"
1995,"45,041","1,853","56,820","7,857","13,835","125,406","55,710","181,116",97,"13,738"
1996,"24,779",220,"17,069","2,461","5,119","49,648","44,635","94,283",67,"5,052"
1997,"8,822",550,"1,489","4,963","2,717","18,541","32,345","50,886",27,"2,690"
1998,"28,827",742,"19,371","4,427","5,176","58,543","61,382","119,925",86,"5,090"
1999,"36,231","2,881","7,507","4,170","5,619","56,408","60,768","117,176",44,"5,575"
2000,"21,236","2,132","11,466","4,137","5,478","44,449","64,700","109,149",31,"5,447"
2001,"38,326","2,065","11,777","3,094","3,121","58,383","104,394","162,777",22,"3,099"
2002,"39,053","3,456","30,894","6,642","3,870","83,915","219,360","303,275",68,"3,802"
2003,"36,433","3,646","27,694","10,503","3,702","81,978","183,112","265,090",59,"3,643"
2004,"62,002","5,335","30,961","14,108","9,804","122,210","129,327","251,537",120,"9,684"
2005,"46,521","4,325","23,546","4,654","8,393","87,439","135,558","222,997",134,"8,259"
2006,"49,394",613,"37,879","4,621","11,803","104,310","122,384","226,694",134,"11,669"
2007,"23,519","6,484","18,795","2,124","8,133","59,055","74,246","133,301",60,"8,073"
2008,"47,997",0,"25,254","1,530","4,064","78,845","95,226","174,071",91,"3,973"
2009,"51,748","4,749","46,838","6,720","10,006","120,061","103,950","224,011",240,"9,766"
2010,"34,554","3,988","52,497","14,287","14,666","119,992","126,830","246,822",258,"14,408"
2011,"23,825","6,383","11,353","4,804","12,702","59,067","70,871","129,938",224,"12,478"
2012,"14,648",0,"12,108","1,212","14,204","42,171","70,775","112,946",132,"14,072"
2013,"34,849","2,372","24,986","2,472","10,613","75,293","68,117","143,410",238,"10,375"
2014,"12,118",773,"32,145","3,656","16,792","65,484","124,171","189,655",224,"16,568"
2015,"16,355","5,634","8,737","3,063","10,434","44,223","60,178","104,401",256,"10,183"
2016,"9,801",326,"14,757","1,210","11,720","37,814","87,704","125,518",169,"11,520"
2017,"19,552","5,984","10,230","4,723","7,960","48,449","57,868","106,317",178,"7,802"
2018,"4,390","2,628","15,794","1,392","9,739","33,943","51,173",,276,"9,505"
2019,,,,,,,82759,,250,12252
